,"This is a citation overview for a set of 3504 documents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 120 (Of the 3504 documents considered for the h-index, 120 have been cited at least 120 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2000,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Subtotal,>2025,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,261,908,2151,4387,8904,13600,21133,39472,12879,103731,0,103731
2018,"Detection of widespread horizontal pleiotropy in causal relationships inferred from Mendelian randomization between complex traits and diseases",15461718,"Nature Genetics","50","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,82,182,352,614,1097,2091,605,5038,0,5038
2018,"The MR-base platform supports systematic causal inference across the human phenome",2050084X,"eLife","7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,122,228,438,609,970,1657,490,4531,0,4531
2017,"Interpreting findings from Mendelian randomization using the MR-Egger method",15737284,"European Journal of Epidemiology","32","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,54,84,165,248,542,1234,363,2712,0,2712
2018,"Reading Mendelian randomisation studies: A guide, glossary, and checklist for clinicians",17561833,"BMJ (Online)","362","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,138,257,313,553,994,319,2630,0,2630
2017,"Mendelian randomization",15383598,"JAMA - Journal of the American Medical Association","318","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,41,93,196,449,1018,301,2132,0,2132
2017,"Robust inference in summary data Mendelian randomization via the zero modal pleiotropy assumption",14643685,"International Journal of Epidemiology","46","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,57,87,152,185,361,821,246,1938,0,1938
2017,"Orienting the causal relationship between imprecisely measured traits using GWAS summary data",15537404,"PLoS Genetics","13","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,50,96,155,296,610,172,1416,0,1416
2017,"MendelianRandomization: An R package for performing Mendelian randomization analyses using summarized data",14643685,"International Journal of Epidemiology","46","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68,95,154,212,239,394,95,1285,0,1285
2017,"Sensitivity analyses for robust causal inference from mendelian randomization analyses with multiple genetic variants",15315487,"Epidemiology","28","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,28,50,62,85,149,211,459,135,1195,0,1195
2017,"A framework for the investigation of pleiotropy in two-sample summary data Mendelian randomization",10970258,"Statistics in Medicine","36","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,27,61,99,140,243,429,106,1143,0,1143
2016,"Assessing the suitability of summary data for two-sample mendelian randomization analyses using MR-Egger regression: The role of the I 2 statistic",14643685,"International Journal of Epidemiology","45","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,32,56,72,126,145,216,362,97,1131,0,1131
2019,"Causal relationships among the gut microbiome, short-chain fatty acids and metabolic diseases",15461718,"Nature Genetics","51","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,102,158,166,228,304,75,1073,0,1073
2016,"Bias due to participant overlap in two-sample Mendelian randomization",10982272,"Genetic Epidemiology","40","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,41,62,132,149,241,314,97,1062,0,1062
2020,"Guidelines for performing Mendelian randomization investigations",2398502X,"Wellcome Open Research","4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,91,165,249,358,97,977,0,977
2019,"Meta-analysis and Mendelian randomization: A review",17592887,"Research Synthesis Methods","10","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,47,161,520,179,929,0,929
2018,"Evaluating the potential role of pleiotropy in Mendelian randomization studies",14602083,"Human Molecular Genetics","27","R2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,72,122,130,158,303,94,919,0,919
2021,"Strengthening the reporting of observational studies in epidemiology using mendelian randomisation (STROBE-MR): Explanation and elaboration",17561833,"The BMJ","375","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,175,456,161,853,0,853
2016,"Triangulation in aetiological epidemiology",14643685,"International Journal of Epidemiology","45","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,48,78,89,115,110,123,132,45,758,0,758
2022,"Mendelian randomization",26628449,"Nature Reviews Methods Primers","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,126,311,130,598,0,598
2021,"Mendelian randomisation for mediation analysis: current methods and challenges for implementation",15737284,"European Journal of Epidemiology","36","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,101,304,107,559,0,559
2019,"Improving the accuracy of two-sample summary-data Mendelian randomization: Moving beyond the NOME assumption",14643685,"International Journal of Epidemiology","48","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,28,46,100,246,99,546,0,546
2020,"Evaluating the relationship between circulating lipoprotein lipids and apolipoproteins with risk of coronary heart disease: A multivariable Mendelian randomisation analysis",15491676,"PLoS Medicine","17","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70,104,134,167,45,531,0,531
2019,"Assessment of bidirectional relationships between physical activity and depression among adults a 2-sample Mendelian randomization study",2168622X,"JAMA Psychiatry","76","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,40,71,82,92,155,33,492,0,492
2017,"Mendelian randomization in cardiometabolic disease: Challenges in evaluating causality",17595010,"Nature Reviews Cardiology","14","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,49,47,61,73,74,94,27,466,0,466
2022,"Mendelian Randomization: Concepts and Scope",21571422,"Cold Spring Harbor Perspectives in Medicine","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,80,238,105,450,0,450
2021,"Multivariable mendelian randomization and mediation",21571422,"Cold Spring Harbor Perspectives in Medicine","11","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,95,226,75,443,0,443
2020,"Statistical inference in two-sample summary-data Mendelian randomization using robust adjusted profile score",21688966,"Annals of Statistics","48","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,97,121,134,43,441,0,441
2019,"Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,85,74,80,96,31,436,0,436
2020,"Using human genetics to understand the disease impacts of testosterone in men and women",1546170X,"Nature Medicine","26","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,77,85,114,109,32,430,0,430
2016,"Best (but oft-forgotten) practices: The design, analysis, and interpretation of Mendelian randomization studies",19383207,"American Journal of Clinical Nutrition","103","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,31,30,43,57,54,63,85,27,418,0,418
