Study_Ref,Title,Author,Year,DOI,Citations,Study_Aim_Question,Association,Exposure,Exposure_Unit,Exposure_Cohort,Exposure_N_Participants,Outcome,Outcome_Unit,Outcome_Cohort,Outcome_N_Participants,Overlap_Bool,Overlap_Max_Est_Decimal,Reported_WME_Measure,Reported_WME_Causal_Effect,Reported_WME_Lower_CI,Reported_WME_Upper_CI,Reported_WME_SE,n_Instruments,Causality_Reported,p_value,Notes
@choi_assessment_2019,Assessment of Bidirectional Relationships Between Physical Activity and Depression Among Adults,Choi et al,2019,10.1001/jamapsychiatry.2018.4175,492,"""...we apply bidirectional MR to assess the potential causal relationship of physical activity with the risk for depression, and vice versa."" [@Assessment_Choi_2019]",Activity on Depression,Self-reported activity,Boolean,UKBB,"377,234",Major Depressive Disorder,Boolean,doi: 10.1038/s41588-018-0090-3,"143,265",FALSE,#N/A,OR,1.49,0.94,2.36,#N/A,24,FALSE,0.08,UKBB Excluded from Outcome Cohort. rs7326482 removed as outlier in MR-PRESSO.
@pasman_gwas_2018,"GWAS of lifetime cannabis use reveals new risk loci, genetic overlap with psychiatric traits, and a causal effect of schizophrenia liability",Pasman et al,2018,10.1038/s41593-018-0206-1,328,"""... to examine whether there was evidence for a causal relationship from cannabis use to schizophrenia risk, and from liability to schizophrenia to cannabis use.""",Schizophrenia on Cannabis Use,Liability to Schizophrenia,"""-log10(P)""",[@biological_schizophrenia_2014] http://dx.doi.org/10.1038/nature13595,"150,064",Lifetime Cannabis Use,"""-log10(P)""","ICC[https://doi.org/10.1038/tp.2016.36], UKBB, 23andMe","184,765",FALSE,#N/A,Beta,0.163,#N/A,#N/A,0.049,109,TRUE,0.001,"Doesn't state which SNPs left out of final analysis, 109->102"
@ligthart_genome_2018,"Genome Analyses of >200,000 Individuals Identify 58 Loci for Chronic Inflammation and Highlight Pathways that Link Inflammation and Complex Disorders",Ligthart et al,2018,10.1016/j.ajhg.2018.09.009,298,"""we conducted MR analyses to provide an improved understanding of the causal relation between CRP and several related clinical outcomes""",CRP on Schizophrenia,Genetically-determined CRP,ln(CRP mg/L),"HapMap, 1K Genomes","204,402",Schizophrenia,Boolean,doi: 10.1038/nature13595,"82,315",FALSE,#N/A,OR,0.89,0.81,0.96,0.042,52,TRUE,0.004,Allele freqs reported Table S5
@carter_understanding_2019,Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,Carter et al,2019,10.1136/bmj.l1855,199,"""To investigate the role of body mass index (BMI), systolic blood pressure, and smoking behaviour in explaining the effect of education on the risk of cardiovascular disease outcomes""",Education on Coronary Disease,Years of Education,SD,SSGAC(10.1038/s41588-018-0147-3),"766,345",Coronary Artery Disease,Boolean,CARDIoGRAMplusC4D(doi: 10.1038/ng.3396),"184,305",FALSE,#N/A,OR,0.62,0.57,0.67,#N/A,1267,TRUE,<0.001,
@mokry_obesity_2016,Obesity and Multiple Sclerosis: A Mendelian Randomization Study,Mokry et al,2016,10.1371/journal.pmed.1002053,199,"""we elected to perform Mendelian randomization (MR) analyses to evaluate whether genetically increased BMI is associated with an increased risk of MS""",BMI on Multiple Sclerosis,BMI,SD,GIANT,"322,105",Multiple Sclerosis,Boolean,IMSGC,"38,589",TRUE,0.025,OR,1.26,0.98,1.62,#N/A,70,FALSE,0.08,SEs reverse-engineered from p-vals/Cis
@carreras-torres_role_2017,"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study ",Carreras-Torres et al,2017,10.1093/jnci/djx012,200,"""to investigate the causal relationship between these metabolic exposures and pancreatic cancer""",Height on Pancreatic Cancer,Height,SD,GIANT,"253,288",Pancreatic Cancer,Boolean,"PanScan I+II, PanC4","15,002",TRUE,0.19,OR,1.14,1,1.29,#N/A,558,FALSE,0.05,Overlap is % of Outcome Cohorts from Europe
@xu_causal_2022,Causal Relationship Between Gut Microbiota and Autoimmune Diseases: A Two-Sample Mendelian Randomization Study,Xu et al,2022,10.3389/fimmu.2021.746998,183,"""aiming to investigate the causal relationship between gut microbiota and a broad range of ADs, we conducted a comprehensive two-sample MR analysis of six ADs, including SLE, RA, IBD, MS, T1D, and CeD""",Coeliac on Gut Bifidobacterium,Coeliac Disease,Boolean,doi.org/10.1038/ng.543,"15,283",Gut Bifidobacterium,Relative Abundance,10.1038/s41588-020-00763-1,"24,269",TRUE,0.63,OR,0.998,0.99,1.005,#N/A,105,FALSE,0.56,
@budu-aggrey_evidence_2019,Evidence of a causal relationship between body mass index and psoriasis: A mendelian randomization study,Budu-Aggrey et al,2019,10.1371/journal.pmed.1002739,182,"""We aimed to investigate a possible causal relationship between body mass index (BMI) and psoriasis""",BMI on Psoriasis,BMI,kg/m^2,10.1038/nature14177,"339,224",Psoriasis,Boolean,10.1038/ncomms15382,"12,559",FALSE,#N/A,OR,1.06,1,1.12,#N/A,97,FALSE,#N/A,
@xie_associations_2023,The associations between modifiable risk factors and nonalcoholic fatty liver disease: A comprehensive Mendelian randomization study,Xie et al,2023,10.1002/hep.32728,138,"""We aimed to systematically explore the relationships between genetically predicted modifiable risk factors and NAFLD""",T2DM on NAFLD,T2DM,logOR,UKBB,"441,016",NAFLD,Boolean,FinnGen,"218,792",FALSE,#N/A,OR,1.61,1.09,2.38,#N/A,526,TRUE,<0.001,Discrepancy re nSNPs
@clift_smoking_2022,Smoking and COVID-19 outcomes: an observational and Mendelian randomisation study using the UK Biobank cohort,Clift et al,2022,10.1136/thoraxjnl-2021-217080,129,"""we investigated associations between smoking and COVID-19 using both observational and Mendelian randomisation approaches""",Smoking Initiation on COVID-19 Infection,Genetically Predicted Smoking Initiation ,SD,GSCAN,"1,232,091",COVID-19 Infection,Boolean,UKBB,"281,105",TRUE,0.36,OR,1.53,1.02,2.28,#N/A,378,TRUE,0.04,
