Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Verbanck, M., Chen, C.-Y., Neale, B., Do, R.",56825519400;56533405900;7003484514;24075896600;,Detection of widespread horizontal pleiotropy in causal relationships inferred from Mendelian randomization between complex traits and diseases,2018,Nature Genetics,50,5,,693,698,,3998,10.1038/s41588-018-0099-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045854182&doi=10.1038%2fs41588-018-0099-7&partnerID=40&md5=8080054a1005c3b74514a1a80ccaf1a1,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85045854182
"Hemani, G., Zheng, J., Elsworth, B., Wade, K.H., Haberland, V., Baird, D., Laurin, C., Burgess, S., Bowden, J., Langdon, R., Tan, V.Y., Yarmolinsky, J., Shihab, H.A., Timpson, N.J., Evans, D.M., Relton, C., Martin, R.M., Davey Smith, G., Gaunt, T.R., Haycock, P.C.",57207869708;57195956687;23134731200;54581733500;55767713700;56651732000;55185338000;57722208500;26321030600;57203507760;55989239600;57200810030;55537997200;35355373400;7601570762;6603403494;55689388800;35354080500;6603377285;35196088100;,The MR-base platform supports systematic causal inference across the human phenome,2018,eLife,7,,e34408,,,,3685,10.7554/eLife.34408,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051679391&doi=10.7554%2feLife.34408&partnerID=40&md5=bdc2cddae5694691eee3745ad394715e,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85051679391
"Davies, N.M., Holmes, M.V., Davey Smith, G.",41561133300;35740512000;35354080500;,"Reading Mendelian randomisation studies: A guide, glossary, and checklist for clinicians",2018,BMJ (Online),362,,1567,,,,2111,10.1136/bmj.k601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050202541&doi=10.1136%2fbmj.k601&partnerID=40&md5=2879e6298e1d78a5fc5185ed088c9ffd,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85050202541
"Burgess, S., Thompson, S.G.",57722208500;7403232897;,Interpreting findings from Mendelian randomization using the MR-Egger method,2017,European Journal of Epidemiology,32,5,,377,389,,2076,10.1007/s10654-017-0255-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019688623&doi=10.1007%2fs10654-017-0255-x&partnerID=40&md5=12df0574afeff2b5027c7a406efdc9e2,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85019688623
"Emdin, C.A., Khera, A.V., Kathiresan, S.",55558417300;57213721138;6602176567;,Mendelian randomization,2017,JAMA - Journal of the American Medical Association,318,19,,1925,1926,,1623,10.1001/jama.2017.17219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036533388&doi=10.1001%2fjama.2017.17219&partnerID=40&md5=285f82be392f06ac375fa9586448ad62,Short Survey,Final,,Scopus,2-s2.0-85036533388
"Hartwig, F.P., Smith, G.D., Bowden, J.",51863852400;35354080500;26321030600;,Robust inference in summary data Mendelian randomization via the zero modal pleiotropy assumption,2017,International Journal of Epidemiology,46,6,,1985,1998,,1503,10.1093/ije/dyx102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036649300&doi=10.1093%2fije%2fdyx102&partnerID=40&md5=fa6ea37f842b528bde779337727ef559,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85036649300
"Yavorska, O.O., Burgess, S.",57200100423;57722208500;,MendelianRandomization: An R package for performing Mendelian randomization analyses using summarized data,2017,International Journal of Epidemiology,46,6,,1734,1739,,1120,10.1093/ije/dyx034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039543207&doi=10.1093%2fije%2fdyx034&partnerID=40&md5=9d7f2e44271be436c11a5f5aa95dcc01,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85039543207
"Hemani, G., Tilling, K., Davey Smith, G.",57207869708;57226203691;35354080500;,Orienting the causal relationship between imprecisely measured traits using GWAS summary data,2017,PLoS Genetics,13,11,e1007081,,,,1116,10.1371/journal.pgen.1007081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036637858&doi=10.1371%2fjournal.pgen.1007081&partnerID=40&md5=3c16a762fbff41ee8f5da3db8d345f6a,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85036637858
"Bowden, J., Del Greco M, F., Minelli, C., Davey Smith, G., Sheehan, N., Thompson, J.",26321030600;57204091824;57205551994;35354080500;7006433812;7405821967;,A framework for the investigation of pleiotropy in two-sample summary data Mendelian randomization,2017,Statistics in Medicine,36,11,,1783,1802,,964,10.1002/sim.7221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010911865&doi=10.1002%2fsim.7221&partnerID=40&md5=dec193e8b461808be2d0bb84c0772f5e,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85010911865
"Burgess, S., Bowden, J., Fall, T., Ingelsson, E., Thompson, S.G.",57722208500;26321030600;57195771062;6506552509;7403232897;,Sensitivity analyses for robust causal inference from mendelian randomization analyses with multiple genetic variants,2017,Epidemiology,28,1,,30,42,,964,10.1097/EDE.0000000000000559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991449483&doi=10.1097%2fEDE.0000000000000559&partnerID=40&md5=29301a84d5f7f34573e057fdc6f84a75,Review,Final,"All Open Access, Green",Scopus,2-s2.0-84991449483
