Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs425277,OR,0.03,0,-0.04,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs9434723,OR,0.03,0,0.01,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs10779751,OR,0.02,0,0.04,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs12137162,OR,0.02,0,0,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs212524,OR,0.02,0,-0.03,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2806561,OR,0.03,0,0,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs4601530,OR,0.03,0,0,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs926438,OR,0.02,0,0,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs17163588,OR,0.03,0,-0.02,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2219320,OR,0.02,0,-0.05,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs16834765,OR,0.05,0.01,0.05,0.05
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs7544462,OR,0.03,0.01,0.03,0.05
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs209918,OR,0.02,0,-0.03,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs6600365,OR,0.03,0,0.01,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs12855,OR,0.04,0.01,0.03,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs17387330,OR,0.02,0,-0.01,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs6691924,OR,0.03,0.01,0.03,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2815379,OR,0.02,0,-0.02,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs17391694,OR,0.04,0.01,0.04,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs567401,OR,0.03,0,0.02,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2046158,OR,0.02,0,0.03,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2811594,OR,0.02,0,0.05,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs17113369,OR,0.07,0.01,0.07,0.06
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs7517682,OR,0.02,0,0.01,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs12120956,OR,0.02,0,-0.04,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs1321666,OR,0.02,0,0.01,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs9428104,OR,0.04,0,0,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs1409156,OR,0.02,0,-0.05,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs6658763,OR,0.03,0.01,0.01,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs3767627,OR,0.03,0,0.01,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs956796,OR,0.03,0.01,-0.02,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2298265,OR,0.03,0,0,0.04
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs6688100,OR,0.02,0,-0.05,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs4656220,OR,0.02,0,0.03,0.02
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs6694089,OR,0.03,0,-0.03,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs2421992,OR,0.03,0,-0.03,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs17369123,OR,0.03,0,0.01,0.03
Carreras-Torres et al,[@carreras-torres_role_2017],10.1093/jnci/djx012,Height,Pancreatic Cancer,rs1325596,OR,0.03,0,0.06,0.02
