Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12130857,OR,-0.018,0.003,-0.068,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs301807,OR,0.018,0.003,-0.05,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs3820277,OR,-0.019,0.003,-0.076,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1889571,OR,0.022,0.004,-0.068,0.069
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10914684,OR,-0.016,0.003,0.048,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2637869,OR,0.018,0.003,-0.055,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12755632,OR,-0.015,0.003,0.041,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs951740,OR,0.03,0.003,0.018,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs925524,OR,0.016,0.003,0.016,0.049
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12022778,OR,0.027,0.003,0.136,0.053
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11587399,OR,-0.018,0.003,-0.008,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs4912332,OR,0.014,0.003,-0.003,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1937443,OR,0.02,0.003,0.053,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1022528,OR,0.017,0.003,-0.035,0.048
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12740789,OR,-0.028,0.003,0.018,0.056
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs80054503,OR,-0.024,0.004,0.367,0.265
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10789369,OR,-0.023,0.003,-0.004,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1514176,OR,-0.019,0.003,-0.066,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10873871,OR,0.017,0.003,-0.004,0.054
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs11162019,OR,-0.015,0.003,0.085,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1008078,OR,0.023,0.003,0.065,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1935571,OR,-0.016,0.003,-0.053,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12027999,OR,-0.024,0.004,-0.015,0.068
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs45444697,OR,0.02,0.003,-0.07,0.055
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2901785,OR,-0.017,0.003,-0.015,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs147052174,OR,0.062,0.01,-0.135,0.176
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs35656245,OR,0.016,0.003,-0.005,0.05
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12739243,OR,-0.021,0.003,-0.081,0.055
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs12563365,OR,0.017,0.003,0.005,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs876793,OR,-0.018,0.003,-0.006,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs114976176,OR,-0.016,0.003,0.038,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62106258,OR,-0.045,0.006,0.025,0.102
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs6731872,OR,0.032,0.003,-0.017,0.059
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1022376,OR,-0.015,0.003,-0.023,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs61533748,OR,0.017,0.003,0.014,0.046
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs72790288,OR,-0.046,0.008,-0.036,0.133
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs2710634,OR,-0.018,0.003,-0.024,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs62137126,OR,-0.024,0.004,-0.055,0.07
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1004787,OR,0.028,0.003,-0.02,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs7598402,OR,-0.015,0.003,-0.079,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs10490159,OR,0.017,0.003,0.063,0.045
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs1518393,OR,0.017,0.003,0.061,0.047
Clift et al,[@clift_smoking_2022],10.1136/thoraxjnl-2021-217080,Genetically Determined Smoking Initiation,COVID-19 Infection,rs17616642,OR,-0.017,0.003,-0.071,0.052
