"","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"1","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs977747","OR",0.02,0.00255102,-0.010050336,0.020408163
"2","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs657452","OR",0.02,0.00255102,0.019802627,0.020408163
"3","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11583200","OR",0.02,0.00255102,-0.030459207,0.020408163
"4","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3101336","OR",0.03,0.00255102,1e-100,0.020408163
"5","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12566985","OR",0.02,0.00255102,0.009950331,0.020408163
"6","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12401738","OR",0.02,0.00255102,0.067658648,0.020408163
"7","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11165643","OR",0.02,0.00255102,0.009950331,0.020408163
"8","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17024393","OR",0.07,0.007653061,-0.116533816,0.051020408
"9","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs543874","OR",0.05,0.005102041,0.039220713,0.025510204
"10","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2820292","OR",0.02,0.005102041,0.009950331,0.020408163
"11","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs13021737","OR",0.06,0.005102041,-0.020202707,0.020408163
"12","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs10182181","OR",0.03,0.00255102,-0.051293294,0.015306122
"13","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11126666","OR",0.02,0.00255102,0.009950331,0.020408163
"14","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1016287","OR",0.02,0.00255102,0.009950331,0.020408163
"15","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11688816","OR",0.02,0.00255102,-0.030459207,0.020408163
"16","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2121279","OR",0.02,0.00255102,0.058268908,0.030612245
"17","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1460676","OR",0.02,0.005102041,1e-100,0.030612245
"18","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1528435","OR",0.02,0.00255102,0.009950331,0.020408163
"19","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17203016","OR",0.02,0.005102041,0.009950331,0.025510204
"20","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7599312","OR",0.02,0.00255102,1e-100,0.020408163
"21","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs492400","OR",0.02,0.00255102,-0.010050336,0.015306122
"22","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2176040","OR",0.01,0.00255102,1e-100,0.020408163
"23","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs6804842","OR",0.02,0.00255102,0.039220713,0.020408163
"24","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2365389","OR",0.02,0.005102041,0.009950331,0.020408163
"25","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3849570","OR",0.02,0.00255102,-0.010050336,0.020408163
"26","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs13078960","OR",0.03,0.005102041,-0.030459207,0.020408163
"27","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs16851483","OR",0.05,0.007653061,0.086177696,0.040816327
