Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs10145335,OR,-0.014 ,0.003,-0.008 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs10157145,OR,-0.012 ,0.002,-0.012 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs1043595,OR,0.014 ,0.002,-0.003 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs114243593,OR,0.027 ,0.005,0.021 ,0.024
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs1186721,OR,-0.013 ,0.002,-0.008 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs12912808,OR,0.018 ,0.003,0.017 ,0.013
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs1921981,OR,0.013 ,0.002,-0.007 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs1972763,OR,0.013 ,0.002,0.009 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs1974771,OR,-0.021 ,0.004,0.008 ,0.014
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2035562,OR,-0.014 ,0.002,0.016 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2114286,OR,-0.012 ,0.002,-0.021 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2494664,OR,-0.012 ,0.002,-0.017 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2854277,OR,0.032 ,0.005,0.04 ,0.014
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2942127,OR,0.016 ,0.003,0.006 ,0.011
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs2988004,OR,-0.013 ,0.002,0.013 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs429358,OR,-0.022 ,0.003,0.037 ,0.015
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs4886868,OR,-0.012 ,0.002,0.005 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs527737,OR,-0.012 ,0.002,-0.012 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs56293069,OR,0.014 ,0.003,-0.022 ,0.01
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs67432617,OR,0.015 ,0.003,-0.006 ,0.011
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs7326482,OR,-0.013 ,0.002,0.028 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs77742115,OR,-0.018 ,0.003,0.002 ,0.012
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs7804463,OR,0.015 ,0.002,0.021 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs877483,OR,0.012 ,0.002,0.005 ,0.009
Choi et al,[@choi_assessment_2019],10.1001/jamapsychiatry.2018.4175,Self-Reported Physical Activity,Major Depressive Disorder,rs921915,OR,-0.014 ,0.002,0.002 ,0.009
