Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10043984,Beta,0.029,0.005,0.004,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1023500,Beta,0.032,0.006,-0.009,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10503253,Beta,0.031,0.006,0.006,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10520163,Beta,0.027,0.004,-0.004,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10791097,Beta,0.032,0.004,0.011,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10803138,Beta,-0.03,0.005,-0.03,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs10860964,Beta,0.025,0.005,0.006,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11027857,Beta,0.027,0.004,-0.009,0.008
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs1106568,Beta,-0.03,0.005,0.003,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs111294930,Beta,0.039,0.006,0.015,0.01
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11139497,Beta,0.029,0.005,0.023,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11191419,Beta,-0.043,0.005,0.028,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11210892,Beta,-0.03,0.005,-0.02,0.009
Pasman et al,[@pasman_gwas_2018],10.1038/s41593-018-0206-1,Liability to Schizophrenia,Cannabis Use,rs11682175,Beta,-0.03,0.004,-0.023,0.008
