Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs977747,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs657452,OR,0.02,0.00255102,0.019802627,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11583200,OR,0.02,0.00255102,-0.030459207,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3101336,OR,0.03,0.00255102,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12566985,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12401738,OR,0.02,0.00255102,0.067658648,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11165643,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17024393,OR,0.07,0.007653061,-0.116533816,0.051020408
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs543874,OR,0.05,0.005102041,0.039220713,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2820292,OR,0.02,0.005102041,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs13021737,OR,0.06,0.005102041,-0.020202707,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs10182181,OR,0.03,0.00255102,-0.051293294,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11126666,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1016287,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11688816,OR,0.02,0.00255102,-0.030459207,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2121279,OR,0.02,0.00255102,0.058268908,0.030612245
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1460676,OR,0.02,0.005102041,0,0.030612245
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1528435,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17203016,OR,0.02,0.005102041,0.009950331,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7599312,OR,0.02,0.00255102,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs492400,OR,0.02,0.00255102,-0.010050336,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2176040,OR,0.01,0.00255102,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs6804842,OR,0.02,0.00255102,0.039220713,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2365389,OR,0.02,0.005102041,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3849570,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs13078960,OR,0.03,0.005102041,-0.030459207,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs16851483,OR,0.05,0.007653061,0.086177696,0.040816327
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1516725,OR,0.04,0.00255102,-0.030459207,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs10938397,OR,0.04,0.005102041,-0.020202707,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17001654,OR,0.03,0.005102041,-0.010050336,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs13107325,OR,0.05,0.007653061,0.039220713,0.035714286
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11727676,OR,0.04,0.007653061,-0.020202707,0.035714286
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2112347,OR,0.03,0.00255102,0.039220713,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7715256,OR,0.02,0.00255102,-0.030459207,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs205262,OR,0.02,0.005102041,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2033529,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2207139,OR,0.04,0.00255102,-0.020202707,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9400239,OR,0.02,0.00255102,-0.030459207,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9374842,OR,0.02,0.00255102,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs13201877,OR,0.02,0.005102041,0.009950331,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs13191362,OR,0.03,0.005102041,0.019802627,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1167827,OR,0.02,0.005102041,0,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2245368,OR,0.03,0.005102041,0,0.040816327
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9641123,OR,0.03,0.005102041,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs6465468,OR,0.02,0.00255102,-0.020202707,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17405819,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs16907751,OR,0.04,0.007653061,0,0.030612245
