Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1018326,OR,0.151862349,0.018585937,-0.001231266,0.01182405
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10456362,OR,0.85271175,0.024574517,0.005940508,0.01668821
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10498722,OR,0.508021696,0.030682549,-0.01259896,0.02136747
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1050976,OR,-0.111043299,0.018471773,-0.009621774,0.01174775
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10513548,OR,-0.185847767,0.033908858,-0.003902658,0.02071771
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10800746,OR,-0.112161367,0.020142258,-0.032438407,0.012758964
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10892258,OR,-0.149544637,0.022231074,-0.015572095,0.013896981
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs10946938,OR,-0.211585602,0.022462099,0.01373735,0.01340909
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs11066320,OR,0.138891999,0.018711916,0.012337749,0.011983564
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1107943,OR,0.199670195,0.034607541,-0.014965,0.02305668
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs11158,OR,1.396244692,0.036296825,0.005660061,0.02243745
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs11801183,OR,-0.13834295,0.024522924,-0.025389192,0.015400189
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs11851414,OR,0.120446153,0.022051201,-0.016906451,0.014313839
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs11875687,OR,0.15956457,0.025057852,0.0149313,0.01533719
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs12068671,OR,-0.15665381,0.024415282,0.007741052,0.01554065
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1233405,OR,-0.384486702,0.01905201,0.000787835,0.0118548
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1250552,OR,-0.154784214,0.018577748,0.01012682,0.01170732
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13003464,OR,0.153579088,0.018893426,0.007427988,0.01222786
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1311918,OR,1.234598998,0.032094678,0.01582147,0.02164355
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13132308,OR,-0.348990261,0.026913084,-0.025774955,0.016627455
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13151961,OR,-0.335472736,0.026787271,-0.02076964,0.01664541
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13198474,OR,0.946237808,0.031183146,-0.002721073,0.02373201
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13203715,OR,-0.361687486,0.030901075,-0.01044214,0.01742588
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13215054,OR,0.646055573,0.021115169,0.00819599,0.01399195
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs13219354,OR,0.901380119,0.026505014,-0.01153087,0.01906034
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1323292,OR,-0.26175445,0.025293017,0.01393231,0.01498296
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1378938,OR,0.117783036,0.020402684,-0.00099642,0.01284573
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1405490,OR,0.11064652,0.02014912,-0.003159183,0.01261998
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs149901,OR,0.647103242,0.021224626,0.022350289,0.013662404
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs16891725,OR,0.895271365,0.026300594,-0.002009496,0.01834212
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs17264332,OR,0.250758718,0.022025908,0.01121893,0.01511044
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs17475879,OR,-0.413547684,0.040333227,0.0214437,0.02716683
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs17630235,OR,0.151862349,0.018756628,0.007880645,0.01203768
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs17693963,OR,1.083160184,0.028157869,0.004033557,0.02110687
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs182429,OR,0.150142658,0.018658255,-0.005097464,0.01181762
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1893592,OR,-0.123863987,0.020874891,0.01260422,0.01302862
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1929848,OR,0.1889661,0.026164009,0.035722464,0.0174818
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs1980422,OR,0.172271221,0.021579482,-0.021694885,0.014051232
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2030519,OR,-0.278259934,0.018862903,-0.006774659,0.01171261
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs209139,OR,-0.29732845,0.041965645,-0.003570876,0.02983284
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2097282,OR,0.183986836,0.019734533,-0.005203657,0.01253814
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs210196,OR,-0.18548656,0.020196896,0.026490872,0.013049177
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2269426,OR,-0.768948894,0.02142541,0.036548339,0.01203836
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2281820,OR,0.287432041,0.018839086,-0.01841833,0.011892584
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2294478,OR,-0.45870767,0.019185142,0.015076218,0.011867929
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2394401,OR,-0.279184942,0.030901059,0.01793692,0.02027169
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2395309,OR,0.686625964,0.022173313,0.007059927,0.01488576
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs241439,OR,0.604862266,0.019647323,0.024489262,0.011905654
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2499714,OR,0.1889661,0.030535304,0.001418148,0.01892266
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2517425,OR,0.83681453,0.021753859,0.00894751,0.01337042
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2517582,OR,-0.631299777,0.020579327,-0.001724013,0.01196083
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2524005,OR,0.827678074,0.022502063,0.01196939,0.01463922
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs2736171,OR,-1.041853955,0.027084071,0.02077098,0.01197327
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs29218,OR,0.755652386,0.02221778,0.009491348,0.01409461
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3094228,OR,1.450442181,0.037705745,-0.023550185,0.015401255
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3101942,OR,-0.659712404,0.020706975,0.014948232,0.011900718
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3117143,OR,1.250188228,0.032499936,0.01702686,0.0218217
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3117324,OR,0.306013029,0.018714098,-0.001143698,0.01189445
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3130531,OR,-0.544727175,0.020409293,-0.003313713,0.01220182
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3130934,OR,-0.706840508,0.022443384,0.001325649,0.01227274
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3131622,OR,-0.632804952,0.019891426,-0.003061884,0.01206593
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3132584,OR,1.05535678,0.027435091,0.007972581,0.01506948
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3132645,OR,1.396244692,0.036296825,0.001489025,0.02196625
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3134942,OR,1.927746178,0.050113756,-0.01556252,0.0177065
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3184504,OR,0.175632569,0.018682881,0.003819754,0.01183595
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs34018127,OR,-0.367013922,0.061774718,-0.05929057,0.05490558
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3734840,OR,-0.434173272,0.025432672,-0.01714602,0.0162128
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3857546,OR,0.771496147,0.025041767,0.005103036,0.01832915
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs3869145,OR,-0.554777511,0.058767264,-0.01511424,0.05186799
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4084096,OR,-0.451456692,0.028643787,-0.01892812,0.01715299
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4445406,OR,-0.136048844,0.019734271,-0.000737925,0.01226826
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs445870,OR,-0.206040643,0.020819205,0.035316178,0.012498743
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4713646,OR,0.361164849,0.020660638,-0.004601031,0.01344029
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4821124,OR,0.151002874,0.023051153,-0.017039685,0.014133256
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4947256,OR,-0.248589573,0.034184478,-0.01504225,0.0213636
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs4947324,OR,-0.250514748,0.032227268,0.01022714,0.01931841
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs525623,OR,0.517006483,0.024965574,-0.009456079,0.01786749
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs55743914,OR,0.187309098,0.021236954,0.017689329,0.014314314
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs61579022,OR,0.107957142,0.018833815,0.001904936,0.01192113
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs61907765,OR,0.161268148,0.022163243,0.003189934,0.01472586
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6498114,OR,0.131028262,0.021151155,0.01434488,0.01361028
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs652888,OR,1.4641809,0.038062897,-0.01351218,0.01473678
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6715106,OR,-0.237369259,0.041205282,0.008979033,0.0261961
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6904165,OR,-0.250257844,0.039210974,-0.000855523,0.02395803
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6921948,OR,-0.657973106,0.01980407,-0.01226943,0.01164221
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6930435,OR,0.728514324,0.021195672,0.005199043,0.01445081
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs6941621,OR,0.315540401,0.020365364,-0.007358177,0.01304278
Xu et al,[@xu_causal_2022],10.3389/fimmu.2021.746998,Coeliac Disease,Gut Bifidobacterium,rs7104791,OR,0.148420005,0.022104879,-0.01085021,0.01383405
