Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10029034,OR,0.011737,0.00210704,-0.0537,0.0546
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1009360,OR,-0.01848,0.00200785,-0.0778,0.0488
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10152471,OR,-0.01352,0.00204778,0.0097,0.0485
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10172544,OR,-0.01123,0.0020155,-0.0876,0.0495
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10180284,OR,-0.01165,0.00198789,-0.0185,0.0478
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10210970,OR,0.023256,0.00292788,0.0193,0.0616
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10219951,OR,0.019279,0.00313261,-0.1174,0.0632
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10242866,OR,0.015793,0.00202877,-0.0429,0.0522
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10261878,OR,-0.02461,0.00437406,0.1424,0.142
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1030472,OR,0.022676,0.00243475,0.0209,0.069
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1037117,OR,0.017221,0.00229153,-0.0899,0.0532
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1043764,OR,-0.01657,0.0025148,0.0238,0.0531
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1045241,OR,-0.0207,0.00224699,-0.0056,0.0516
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10455872,OR,-0.04436,0.00368335,0.0448,0.1154
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1057868,OR,0.012404,0.00219776,0.0773,0.0489
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1064725,OR,-0.0591,0.00515523,-0.0308,0.1181
