Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1558902,OR,0.082,0.001710651,0,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs6567160,OR,0.056,0.003649025,0,0.020419058
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs13021737,OR,0.060,0.004006475,0.048790164,0.021775472
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs10938397,OR,0.040,0.003094071,0.019802627,0.015010332
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs543874,OR,0.048,0.003870376,0,0.022860245
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2207139,OR,0.045,0.004017639,0.039220713,0.02219678
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11030104,OR,0.041,0.003738653,0.029558802,0.02219678
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3101336,OR,0.033,0.003110228,-0.010050336,0.017954285
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7138803,OR,0.032,0.003180285,0.019802627,0.020018269
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs10182181,OR,0.031,0.003083033,0.058268908,0.016932416
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3888190,OR,0.031,0.003121789,0.009950331,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1516725,OR,0.045,0.004616461,0.019802627,0.027403125
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12446632,OR,0.040,0.00455052,0.058268908,0.028910379
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2287019,OR,0.036,0.004155417,0.048790164,0.021984106
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs16951275,OR,0.031,0.003646959,-0.010050336,0.020625535
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3817334,OR,0.026,0.003101683,-0.030459207,0.018322891
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2112347,OR,0.026,0.003109371,0.019802627,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12566985,OR,0.024,0.003045921,-0.010050336,0.017954285
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3810291,OR,0.028,0.003574883,-0.030459207,0.018322891
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7141420,OR,0.024,0.003110258,0.019802627,0.017428379
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs13078960,OR,0.030,0.003910398,-0.010050336,0.023090308
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs10968576,OR,0.025,0.003335146,0.009950331,0.020216676
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12429545,OR,0.033,0.004636353,0.009950331,0.025278291
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12286929,OR,0.022,0.003100954,-0.010050336,0.020625535
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11165643,OR,0.022,0.003130357,0.009950331,0.020216676
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7903146,OR,0.023,0.003385829,-0.020202707,0.018136715
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs10132280,OR,0.023,0.003385829,0,0.017954285
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs17405819,OR,0.022,0.003284006,-0.010050336,0.020625535
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1016287,OR,0.023,0.003440114,0.029558802,0.01982372
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs4256980,OR,0.021,0.003157043,-0.010050336,0.020625535
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs17094222,OR,0.025,0.003818851,0.009950331,0.022634723
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12401738,OR,0.021,0.0032611,0.009950331,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7599312,OR,0.022,0.003416391,0.019802627,0.022413611
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2365389,OR,0.020,0.003127086,-0.020202707,0.020836232
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs205262,OR,0.022,0.003449515,0.009950331,0.020216676
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2820292,OR,0.020,0.003135923,0.029558802,0.01982372
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12885454,OR,0.021,0.003297004,0.009950331,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12016871,OR,0.030,0.004731827,0.009950331,0.022634723
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs16851483,OR,0.048,0.00765471,0.019802627,0.03506913
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1167827,OR,0.020,0.003234715,0,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs758747,OR,0.023,0.003736587,0.029558802,0.01982372
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1928295,OR,0.019,0.003090884,0.019802627,0.017428379
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs9925964,OR,0.019,0.003092881,0.019802627,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11126666,OR,0.021,0.00346102,0.019802627,0.017428379
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2650492,OR,0.021,0.003496325,0.009950331,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs6804842,OR,0.019,0.00318705,0.029558802,0.01982372
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs12940622,OR,0.018,0.003019311,0.009950331,0.020216676
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs4740619,OR,0.018,0.003071047,0,0.020419058
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs13191362,OR,0.028,0.004840917,0.009950331,0.030344883
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3736485,OR,0.018,0.00311325,-0.030459207,0.015784542
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs17001654,OR,0.031,0.005367918,0.039220713,0.021984106
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11191560,OR,0.031,0.005383455,-0.020202707,0.028518216
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1528435,OR,0.018,0.003157964,0,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2075650,OR,0.026,0.004572464,0.029558802,0.024786671
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1000940,OR,0.019,0.003341416,0.009950331,0.020216676
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11583200,OR,0.018,0.003179252,0.009950331,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs9400239,OR,0.019,0.00336246,-0.030459207,0.021051282
