Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1514895,OR,0.004,2.70 × 10−9,1.744521843,0.42962963
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs75460349,OR,0.086,0.013,1.597705112,0.398837209
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs9271608,OR,0.042,0.005,1.056645708,0.373622712
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs12960928,OR,0.024,0.004,0.900068523,0.5
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1189402,OR,0.023,0.004,0.564004975,0.444
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs12995480,OR,−0.031,0.005,0.483141473,0.451041233
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs7121935,OR,−0.022,0.004,0.425714562,0.503363383
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1880241,OR,−0.028,0.004,0.395844662,0.392199586
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1800961,OR,-0.104,0.012,0.275303578,0.269058296
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1490384,OR,-0.026,0.004,0.237643265,0.435203095
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs13233571,OR,0.057,0.005,0.230167349,0.293523157
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs6001193,OR,−0.028,0.004,0.201527085,0.395555396
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1441169,OR,−0.025,0.004,0.196501054,0.433282516
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1051338,OR,0.024,0.004,0.175821894,0.481554374
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10925027,OR,0.036,0.004,0.097234753,0.302483696
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs340005,OR,0.03,0.004,0.083209924,0.373246243
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10838687,OR,−0.031,0.004,0.067778039,0.407095086
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10512597,OR,−0.037,0.005,-0.016241642,0.370962064
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs4420638,OR,0.229,0.006,-0.037465723,0.063627925
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs469772,OR,−0.031,0.005,-0.063778934,0.430938168
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1260326,OR,0.077,0.004,-0.083016505,0.147014783
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs10521222,OR,0.104,0.011,-0.087141039,0.311269885
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs13409371,OR,0.048,0.004,-0.089136433,0.228064356
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2794520,OR,0.182,0.004,-0.120735391,0.060377856
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs2891677,OR,−0.020,0.004,-0.120997262,0.528727529
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs7310409,OR,0.137,0.004,-0.148112364,0.078788984
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs17658229,OR,0.056,0.01,-0.185300991,0.500287936
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1558902,OR,0.034,0.004,-0.185692453,0.321287508
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.009,Genetically Determined CRP,Schizophrenia,rs1805096,OR,0.104,0.004,-0.209793628,0.105383164
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.010,Genetically Determined CRP,Schizophrenia,rs2836878,OR,0.043,0.004,-0.223852877,0.284369027
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.011,Genetically Determined CRP,Schizophrenia,rs11108056,OR,−0.028,0.004,-0.286735594,0.383416347
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.012,Genetically Determined CRP,Schizophrenia,rs4129267,OR,0.088,0.004,-0.293616084,0.123401776
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.013,Genetically Determined CRP,Schizophrenia,rs12202641,OR,−0.023,0.004,-0.298055122,0.482371514
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.014,Genetically Determined CRP,Schizophrenia,rs2293476,OR,0.035,0.005,-0.320430341,0.419668231
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.015,Genetically Determined CRP,Schizophrenia,rs4092465,OR,−0.027,0.004,-0.353046445,0.407524652
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.016,Genetically Determined CRP,Schizophrenia,rs9284725,OR,0.027,0.004,-0.366160182,0.457707799
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.017,Genetically Determined CRP,Schizophrenia,rs2239222,OR,0.035,0.004,-0.414310756,0.309998873
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.018,Genetically Determined CRP,Schizophrenia,rs2852151,OR,0.025,0.004,-0.424701219,0.43662826
