"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"1",1,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12130857","OR",-0.018,0.003,-0.068,0.048
"2",2,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs301807","OR",0.018,0.003,-0.05,0.045
"3",3,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3820277","OR",-0.019,0.003,-0.076,0.045
"4",4,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1889571","OR",0.022,0.004,-0.068,0.069
"5",5,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10914684","OR",-0.016,0.003,0.048,0.047
"6",6,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2637869","OR",0.018,0.003,-0.055,0.049
"7",7,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12755632","OR",-0.015,0.003,0.041,0.047
"8",8,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs951740","OR",0.03,0.003,0.018,0.046
"9",9,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs925524","OR",0.016,0.003,0.016,0.049
"10",10,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12022778","OR",0.027,0.003,0.136,0.053
"11",11,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11587399","OR",-0.018,0.003,-0.008,0.054
"12",12,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4912332","OR",0.014,0.003,-0.003,0.045
"13",13,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1937443","OR",0.02,0.003,0.053,0.045
"14",14,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1022528","OR",0.017,0.003,-0.035,0.048
"15",15,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12740789","OR",-0.028,0.003,0.018,0.056
"16",16,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs80054503","OR",-0.024,0.004,0.367,0.265
"17",17,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10789369","OR",-0.023,0.003,-0.004,0.046
"18",18,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1514176","OR",-0.019,0.003,-0.066,0.045
"19",19,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10873871","OR",0.017,0.003,-0.004,0.054
"20",20,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11162019","OR",-0.015,0.003,0.085,0.046
"21",21,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1008078","OR",0.023,0.003,0.065,0.045
"22",22,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1935571","OR",-0.016,0.003,-0.053,0.045
"23",23,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12027999","OR",-0.024,0.004,-0.015,0.068
"24",24,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs45444697","OR",0.02,0.003,-0.07,0.055
